participant,problem,trials_to_criterion
1,1,1
1,2,3
1,3,7
1,4,1
1,5,7
1,6,35
1,7,1
1,8,7
1,9,4
1,10,1
1,11,4
1,12,1
1,13,1
1,14,4
1,15,1
1,16,12
1,17,14
1,18,5
1,19,2
1,20,14
1,21,6
1,22,1
1,23,1
2,1,12
2,2,1
2,3,1
2,4,6
2,5,35
2,6,20
2,7,35
2,8,6
2,9,24
2,10,8
2,11,2
2,12,2
2,13,20
2,14,4
2,15,35
2,16,18
2,17,35
2,18,17
2,19,10
2,20,7
2,21,35
2,22,9
2,23,1
3,1,1
3,2,2
3,3,3
3,4,7
3,5,1
3,6,35
3,7,1
3,8,1
3,9,1
3,10,2
3,11,3
3,12,8
3,13,5
3,14,1
3,15,1
3,16,7
3,17,6
3,18,2
3,19,1
3,20,4
3,21,1
3,22,14
3,23,7
4,1,2
4,2,2
4,3,1
4,4,1
4,5,21
4,6,35
4,7,35
4,8,14
4,9,16
4,10,2
4,11,1
4,12,1
4,13,14
4,14,1
4,15,2
4,16,35
4,17,5
4,18,35
4,19,11
4,20,5
4,21,35
4,22,1
4,23,22
5,1,8
5,2,10
5,3,4
5,4,1
5,5,8
5,6,27
5,7,13
5,8,4
5,9,3
5,10,4
5,11,3
5,12,9
5,13,35
5,14,3
5,15,2
5,16,35
5,17,2
5,18,27
5,19,1
5,20,1
5,21,1
5,22,1
5,23,1
6,1,8
6,2,19
6,3,3
6,4,3
6,5,3
6,6,25
6,7,8
6,8,14
6,9,1
6,10,1
6,11,1
6,12,4
6,13,3
6,14,10
6,15,1
6,16,2
6,17,35
6,18,5
6,19,3
6,20,8
6,21,35
6,22,4
6,23,1
7,1,1
7,2,4
7,3,1
7,4,1
7,5,1
7,6,12
7,7,4
7,8,1
7,9,1
7,10,3
7,11,4
7,12,8
7,13,1
7,14,2
7,15,1
7,16,2
7,17,21
7,18,5
7,19,5
7,20,3
7,21,23
7,22,1
7,23,2
8,1,1
8,2,4
8,3,1
8,4,1
8,5,5
8,6,26
8,7,14
8,8,5
8,9,13
8,10,5
8,11,8
8,12,4
8,13,13
8,14,35
8,15,1
8,16,14
8,17,35
8,18,1
8,19,11
8,20,1
8,21,35
8,22,5
8,23,1
9,1,35
9,2,14
9,3,7
9,4,1
9,5,35
9,6,35
9,7,35
9,8,1
9,9,35
9,10,35
9,11,1
9,12,1
9,13,7
9,14,12
9,15,35
9,16,35
9,17,35
9,18,35
9,19,8
9,20,35
9,21,35
9,22,21
9,23,6
10,1,1
10,2,3
10,3,1
10,4,1
10,5,1
10,6,35
10,7,3
10,8,4
10,9,35
10,10,4
10,11,2
10,12,7
10,13,10
10,14,14
10,15,5
10,16,35
10,17,22
10,18,2
10,19,2
10,20,18
10,21,21
10,22,2
10,23,21
11,1,14
11,2,2
11,3,6
11,4,3
11,5,35
11,6,3
11,7,8
11,8,8
11,9,4
11,10,1
11,11,1
11,12,25
11,13,1
11,14,1
11,15,1
11,16,28
11,17,35
11,18,35
11,19,4
11,20,9
11,21,28
11,22,1
11,23,2
12,1,1
12,2,3
12,3,1
12,4,1
12,5,9
12,6,35
12,7,12
12,8,1
12,9,6
12,10,2
12,11,1
12,12,2
12,13,13
12,14,19
12,15,2
12,16,9
12,17,14
12,18,7
12,19,2
12,20,16
12,21,7
12,22,2
12,23,5
13,1,4
13,2,21
13,3,1
13,4,1
13,5,13
13,6,35
13,7,7
13,8,1
13,9,35
13,10,16
13,11,1
13,12,5
13,13,9
13,14,1
13,15,4
13,16,13
13,17,35
13,18,19
13,19,17
13,20,3
13,21,26
13,22,5
13,23,4
14,1,1
14,2,1
14,3,1
14,4,2
14,5,1
14,6,35
14,7,35
14,8,1
14,9,2
14,10,4
14,11,1
14,12,2
14,13,5
14,14,3
14,15,1
14,16,35
14,17,35
14,18,4
14,19,1
14,20,1
14,21,7
14,22,1
14,23,6
15,1,1
15,2,1
15,3,4
15,4,1
15,5,6
15,6,4
15,7,1
15,8,13
15,9,7
15,10,4
15,11,1
15,12,35
15,13,35
15,14,1
15,15,1
15,16,22
15,17,35
15,18,1
15,19,4
15,20,6
15,21,15
15,22,6
15,23,4
16,1,1
16,2,5
16,3,1
16,4,1
16,5,2
16,6,16
16,7,6
16,8,5
16,9,1
16,10,2
16,11,5
16,12,2
16,13,3
16,14,1
16,15,18
16,16,10
16,17,35
16,18,1
16,19,4
16,20,1
16,21,2
16,22,1
16,23,3
17,1,2
17,2,3
17,3,1
17,4,7
17,5,35
17,6,35
17,7,1
17,8,3
17,9,3
17,10,1
17,11,2
17,12,5
17,13,3
17,14,4
17,15,10
17,16,35
17,17,13
17,18,5
17,19,1
17,20,2
17,21,17
17,22,4
17,23,1
18,1,1
18,2,2
18,3,1
18,4,5
18,5,8
18,6,35
18,7,1
18,8,7
18,9,1
18,10,1
18,11,1
18,12,35
18,13,2
18,14,8
18,15,3
18,16,35
18,17,8
18,18,1
18,19,6
18,20,1
18,21,35
18,22,1
18,23,1
19,1,1
19,2,22
19,3,4
19,4,7
19,5,1
19,6,35
19,7,14
19,8,4
19,9,5
19,10,4
19,11,1
19,12,4
19,13,35
19,14,1
19,15,2
19,16,35
19,17,28
19,18,1
19,19,1
19,20,15
19,21,16
19,22,1
19,23,6
20,1,1
20,2,9
20,3,2
20,4,1
20,5,7
20,6,35
20,7,9
20,8,1
20,9,1
20,10,3
20,11,1
20,12,1
20,13,1
20,14,2
20,15,1
20,16,35
20,17,1
20,18,2
20,19,35
20,20,1
20,21,35
20,22,6
20,23,8
