folder,results_problem_14,results_problem_7,results_problem_20,results_problem_22,results_problem_5,results_problem_12,results_problem_9,results_problem_15,results_problem_23,results_problem_3,results_problem_19,results_problem_1,results_problem_13,results_problem_17,results_problem_21,results_problem_2,results_problem_18,results_problem_10,results_problem_6,results_problem_11,results_problem_4,results_problem_8,results_problem_16,categories.thisRepN,categories.thisTrialN,categories.thisN,categories.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_kb.started,consent_kb.keys,consent_kb.rt,Gender.keys,Gender.rt,Age,instructions_text.started,instructions_text.stopped,instructions_kb.keys,instructions_kb.rt,instructions_kb.started,instructions_kb.stopped,trial_kb.keys,current_problem_num,category_resp,answer,seed,accuracy,feedback,trial_kb.rt,trial_kb.started,trial_kb.stopped,trial_image.started,trial_image.stopped,feedback_text.started,feedback_text.stopped,new_problem_kb.started,new_problem_text.started,new_problem_kb.keys,new_problem_kb.rt,Participant #,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.33088909997605,77.33088909997605,y,344.05327959998976,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,13.372000899980776,,,,,,,,,,,,,,,,,,,,,,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,441.88621509994846,None,space,90.80917459994089,441.88621509994846,None,,,,,,,,,,,,,,,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_0_0013.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,f,14,A,B,30,0,Incorrect!,21.821993499994278,532.7213674000232,None,532.7213674000232,None,554.5711948999669,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_0_0007.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,f,14,A,B,30,0,Incorrect!,20.619134600041434,555.5719358000206,None,555.5719358000206,None,576.2208251999691,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_1_0000.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,f,14,A,A,30,1,Correct!,22.712662199977785,577.238290600013,None,577.238290600013,None,599.9720960999839,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_1_0006.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,f,14,A,A,30,1,Correct!,9.12934069999028,600.9895077999681,None,600.9895077999681,None,610.1463876999915,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_1_0009.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,j,14,B,A,30,0,Incorrect!,7.474275200045668,611.18061879999,None,611.18061879999,None,618.6862176000141,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_0_0009.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,j,14,B,B,30,1,Correct!,6.286437200033106,619.7203328999458,None,619.7203328999458,None,626.0250805000542,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_14\sample_1_0007.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,f,14,A,A,30,1,Correct!,8.634783399989828,627.0758768999949,None,627.0758768999949,None,635.7323847999796,None,,,,,120,001,2023-10-10_15h28.38.212,uncolored_sorted,2021.2.3,59.95063663283657,
