folder,results_problem_21,results_problem_12,results_problem_3,results_problem_22,results_problem_18,results_problem_4,results_problem_11,results_problem_14,results_problem_10,results_problem_16,results_problem_23,results_problem_9,results_problem_17,results_problem_2,results_problem_13,results_problem_20,results_problem_6,results_problem_5,results_problem_19,results_problem_1,results_problem_8,results_problem_7,results_problem_15,categories.thisRepN,categories.thisTrialN,categories.thisN,categories.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_kb.started,consent_kb.keys,consent_kb.rt,Gender.keys,Gender.rt,Age,instructions_text.started,instructions_text.stopped,instructions_kb.keys,instructions_kb.rt,instructions_kb.started,instructions_kb.stopped,trial_kb.keys,current_problem_num,category_resp,answer,seed,accuracy,feedback,trial_kb.rt,trial_kb.started,trial_kb.stopped,trial_image.started,trial_image.stopped,feedback_text.started,feedback_text.stopped,new_problem_kb.started,new_problem_text.started,new_problem_kb.keys,new_problem_kb.rt,Participant #,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9721932,10.9721932,y,34.0062267,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,3.556278,,,,,,,,,,,,,,,,,,,,,,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,56.5063697,None,space,39.7520443,56.5063697,None,,,,,,,,,,,,,,,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0006.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,13.8874565,96.306915,None,96.306915,None,110.2402601,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0007.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,9.121554,111.2568943,None,111.2568943,None,120.4066443,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0008.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,5.0111382,121.4232736,None,121.4232736,None,126.4565426,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_1_0011.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,j,21,B,A,1,0,Incorrect!,3.4168693,127.4898595,None,127.4898595,None,130.9397507,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0012.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,28.5493664,131.9730161,None,131.9730161,None,160.5557288,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_1_0000.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,f,21,A,A,1,1,Correct!,11.2527679,161.6057092,None,161.6057092,None,172.8888218,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0004.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,j,21,B,B,1,1,Correct!,3.438934,173.955475,None,173.955475,None,177.4220158,None,,,,,141,1,2023-10-30_10h01.19.640,uncolored_shuffled,2021.2.3,59.99714406
