folder,results_problem_20,results_problem_15,results_problem_19,results_problem_5,results_problem_17,results_problem_6,results_problem_7,results_problem_8,results_problem_18,results_problem_11,results_problem_14,results_problem_23,results_problem_3,results_problem_22,results_problem_1,results_problem_9,results_problem_13,results_problem_16,results_problem_12,results_problem_4,results_problem_10,results_problem_2,results_problem_21,categories.thisRepN,categories.thisTrialN,categories.thisN,categories.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_kb.started,consent_kb.keys,consent_kb.rt,Gender.keys,Gender.rt,Age,instructions_text.started,instructions_text.stopped,instructions_kb.keys,instructions_kb.rt,instructions_kb.started,instructions_kb.stopped,trial_kb.keys,current_problem_num,category_resp,answer,seed,accuracy,feedback,trial_kb.rt,trial_kb.started,trial_kb.stopped,trial_image.started,trial_image.stopped,feedback_text.started,feedback_text.stopped,new_problem_kb.started,new_problem_text.started,new_problem_kb.keys,new_problem_kb.rt,Participant #,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6149417,58.6149417,y,165.099379,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,3.5911363,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,245.7211995,None,space,83.8813794,245.7211995,None,,,,,,,,,,,,,,,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_1_0006.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,f,20,A,A,15,1,Correct!,18.7511511,329.6994381,None,329.6994381,None,348.4983941,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_1_0012.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,f,20,A,A,15,1,Correct!,9.6536345,349.5649841,None,349.5649841,None,359.2477315,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_1_0005.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,j,20,B,A,15,0,Incorrect!,3.4169846,360.29765,None,360.29765,None,363.747465,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_1_0013.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,f,20,A,A,15,1,Correct!,1.1090394,364.7974074,None,364.7974074,None,365.9306256,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_0_0016.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,j,20,B,B,15,1,Correct!,1.5973456,366.9972275,None,366.9972275,None,368.613433,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_1_0011.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,j,20,B,A,15,0,Incorrect!,2.3065972,369.680022,None,369.680022,None,372.0131397,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_20\sample_0_0006.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,f,20,A,B,15,0,Incorrect!,2.8908943,373.0797428,None,373.0797428,None,375.9961916,None,,,,,58,1,2023-05-16_15h44.41.292,colored_sorted,2021.2.3,59.98433211
