JSONID,Prompt,ImageID,Relation,RelationType,Subject,Predicate,SubjectType,PredicateType,Dyad,DyadType,Selected
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0012.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0006.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0007.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0013.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0005.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0011.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0010.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0004.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0000.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0014.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0015.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0001.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0017.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0003.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0002.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0016.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0009.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a monkey touching an iguana,0008.jpg,touching,agentic,monkey,iguana,agent,agent,monkey-iguana,agent-agent,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0012.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0006.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0007.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0013.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0005.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0011.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0010.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0004.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0000.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
294f4a5642c7437a92df5170d8c41f3c,a box tied to a bowl,0014.jpg,tied to,physical,box,bowl,object,object,box-bowl,object-object,0
