ID,Prompt,Relation1,Relation2,Image,Type,Agree
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_1.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_2.png,Agentic/Agentic,1.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_3.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_4.png,Agentic/Agentic,1.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_5.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_6.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_7.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_8.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_9.png,Agentic/Agentic,0.0
2,a child pulling a robot with the robot pulling a box,pulling,pulling,a_child_pulling_a_robot_with_the_robot_pulling_a_box_image_10.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_1.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_2.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_3.png,Agentic/Agentic,1.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_4.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_5.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_6.png,Agentic/Agentic,0.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_7.png,Agentic/Agentic,1.0
2,a child hugging a man with the man hugging a box,hugging,hugging,a_child_hugging_a_man_with_the_man_hugging_a_box_image_8.png,Agentic/Agentic,1.0
