,unreversed_prompt,reversed_prompt,unreversed_prompt_davinci_avg_prob,reversed_prompt_davinci_avg_prob,difference_davinci_avg_prob,unreversed_prompt_babbage_avg_prob,reversed_prompt_babbage_avg_prob,difference_babbage_avg_prob,unreversed_prompt_davinci_avg_logprob,reversed_prompt_davinci_avg_logprob,difference_davinci_avg_logprob,unreversed_prompt_babbage_avg_logprob,reversed_prompt_babbage_avg_logprob,difference_babbage_avg_logprob,unreversed_prompt_davinci_mult_prob,reversed_prompt_davinci_mult_prob,difference_davinci_mult_prob,unreversed_prompt_babbage_mult_prob,reversed_prompt_babbage_mult_prob,difference_babbage_mult_prob,unreversed_prompt_davinci_sum_logprob,reversed_prompt_davinci_sum_logprob,difference_davinci_sum_logprob,unreversed_prompt_babbage_sum_logprob,reversed_prompt_babbage_sum_logprob,difference_babbage_sum_logprob,unreversed_prompt_davinci_gm,reversed_prompt_davinci_gm,difference_davinci_gm,unreversed_prompt_babbage_gm,reversed_prompt_babbage_gm,difference_babbage_gm
0,a blanket covering a bowl,a bowl covering a blanket,0.0200606749391525,0.0240072210350724,-0.003946546095919899,0.013643596569825,0.0179896806183167,-0.0043460840484917,-7.2556580749999995,-7.647233625,0.39157555000000066,-7.4031637,-7.87856735,0.4754036499999996,2.486743215837467e-13,5.1927156238105144e-14,1.9674716534564156e-13,1.378438599449732e-13,2.0583854264380607e-14,1.172600056805926e-13,-29.022632299999998,-30.5889345,1.5663022000000026,-29.6126548,-31.5142694,1.9016145999999985,0.0007061675151728713,0.0004773628688230941,0.00022880464634977723,0.0006093219965595398,0.0003787753207158883,0.00023054667584365148
1,a blanket covering a box,a box covering a blanket,0.0213471337406023,0.02262695961608,-0.0012798258754777025,0.0139780868405339,0.0175158827737789,-0.0035377959332449985,-6.7693299,-7.5137648,0.7444348999999999,-7.055019150000001,-7.263622499999999,0.20860334999999885,1.7396805700258096e-12,8.85632685008666e-14,1.651117301524943e-12,5.548511030229845e-13,2.408769916051648e-13,3.139741114178197e-13,-27.0773196,-30.0550592,2.9777395999999996,-28.220076600000002,-29.054489999999998,0.8344133999999954,0.001148463978821527,0.0005455234311962345,0.0006029405476252925,0.0008630662092078193,0.0007005656344518124,0.0001625005747560069
2,a blanket covering a cylinder,a cylinder covering a blanket,0.0198603227356862,0.0318778092300448,-0.012017486494358603,0.0135625563528644,0.0242692119097552,-0.0107066555568908,-7.934369074999999,-8.09842465,0.1640555750000008,-7.733241850000001,-8.442056625,0.7088147749999987,1.6466040276452516e-14,8.542705790478317e-15,7.923334485974198e-15,3.681145209184273e-14,2.1609542248558287e-15,3.46504978669869e-14,-31.737476299999997,-32.3936986,0.6562223000000031,-30.932967400000003,-33.7682265,2.8352590999999947,0.00035821790806118915,0.0003040176953086344,5.420021275255474e-05,0.0004380218118865535,0.00021560627274243462,0.0002224155391441189
3,a blanket covering a spoon,a spoon covering a blanket,0.0198657633485641,0.0193825162331605,0.000483247115403599,0.0135480954248357,0.0193311927727785,-0.005783097347942802,-7.8533143249999995,-8.731796424999999,0.8784820999999994,-7.90145485,-8.82416625,0.922711399999999,2.277171270620345e-14,6.781347224590321e-16,2.2093577983744417e-14,1.8783089961007068e-14,4.686548986836103e-16,1.8314435062323457e-14,-31.413257299999998,-34.927185699999995,3.5139283999999975,-31.6058194,-35.296665,3.690845599999996,0.0003884623418615884,0.000161372302445363,0.0002270900394162254,0.00037020455638480884,0.00014713408412865656,0.00022307047225615228
4,a blanket covering a teacup,a teacup covering a blanket,0.1810603318254534,0.1291757525649847,0.05188457926046869,0.2101748080062901,0.1346034130669946,0.07557139493929549,-5.654760718333333,-6.406857550000001,0.7520968316666679,-5.41790739,-6.2722176450000005,0.8543102550000006,1.840821767904709e-15,2.0194017029823307e-17,1.820627750874886e-15,7.624235498009247e-15,4.52963204940362e-17,7.57893917751521e-15,-33.92856431,-38.4411453,4.512580990000004,-32.50744434,-37.63330587,5.125861530000002,0.0035008106664053927,0.0016502020401336704,0.0018506086262717223,0.004436420639217541,0.0018880369414580685,0.002548383697759472
5,a blanket hanging over a spoon,a spoon hanging over a blanket,0.073512425552917,0.0513333233160479,0.022179102236869093,0.0329462080745349,0.0342589748309945,-0.0013127667564596032,-7.195883280000001,-7.0156034599999995,-0.18027982000000176,-7.173574880000001,-7.40522576,0.23165087999999923,2.3677617222399174e-16,5.831907815461494e-16,-3.4641460932215766e-16,2.647159260645283e-16,8.312976942678064e-17,1.8158615663774763e-16,-35.979416400000005,-35.0780173,-0.9013991000000061,-35.867874400000005,-37.0261288,1.158254399999997,0.0007496656281339619,0.0008977638836836978,-0.00014809825554973593,0.0007665774048116575,0.0006080668325997675,0.0001585105722118899
6,a blanket in a bowl,a bowl in a blanket,0.0338996083800857,0.0256106378789739,0.008288970501111798,0.0279203844061933,0.0403936581675668,-0.012473273761373499,-6.39807615,-6.103584925,-0.2944912249999998,-6.335285675,-6.568702199999999,0.2334165249999991,7.680744756254131e-12,2.4945199925386002e-11,-1.726445516913187e-11,9.87373711903067e-12,3.881463665700671e-12,5.9922734533299996e-12,-25.5923046,-24.4143397,-1.1779648999999992,-25.3411427,-26.274808799999995,0.9336660999999964,0.0016647569369836583,0.002234841602036834,-0.0005700846650531757,0.0017726393675078231,0.001403617845842068,0.00036902152166575506
7,a blanket near a teacup,a teacup near a blanket,0.1900218752981703,0.132042525546032,0.05797934975213831,0.2206393100897304,0.1288891611948983,0.0917501488948321,-6.026508632833331,-5.705860016666667,-0.3206486161666646,-5.275049984499999,-6.093935928333333,0.818885943833334,1.978442048726687e-16,1.3547491322105566e-15,-1.156904927337888e-15,1.7965917448282223e-14,1.3201507279295084e-16,1.7833902375489274e-14,-36.15905179699999,-34.2351601,-1.9238916969999877,-31.650299906999994,-36.563615569999996,4.913315663000002,0.002413907119451819,0.003326415381954017,-0.0009125082625021982,0.005117700896158948,0.002256509952008053,0.0028611909441508946
8,a blanket on a box,a box on a blanket,0.0331452745233712,0.0283201093086126,0.004825165214758603,0.0277008885590231,0.0206310612270744,0.0070698273319486984,-6.3551357500000005,-6.225857050000001,-0.12927869999999952,-6.3259568,-6.009055099999999,-0.31690170000000073,9.120075804316892e-12,1.5296023855958488e-11,-6.175948051641595e-12,1.0249141192007458e-11,3.640844364198176e-11,-2.6159302449974305e-11,-25.420543000000002,-24.903428200000004,-0.5171147999999981,-25.3038272,-24.036220399999998,-1.267606800000003,0.0017377992763092727,0.0019776281626106298,-0.00023982888630135705,0.0017892534735559275,0.002456408144229884,-0.0006671546706739564
9,a blanket tied to a box,a box tied to a blanket,0.1026030256121469,0.1096859509518717,-0.007082925339724794,0.0698448616986946,0.094482027631476,-0.02463716593278141,-6.19024086,-6.08627444,-0.10396641999999989,-6.11898612,-5.75680478,-0.36218133999999935,3.614620973767368e-14,6.07887169281326e-14,-2.4642507190458916e-14,5.161672742775626e-14,3.1568740361506933e-13,-2.6407067618731305e-13,-30.9512043,-30.431372200000002,-0.5198320999999986,-30.594930599999998,-28.7840239,-1.8109066999999968,0.0020493330914585204,0.0022738645729015352,-0.00022453148144301483,0.0022006860639106392,0.003161196195919962,-0.0009605101320093227
